index,epsilon,pvalue,product,gene
SHMT1,-0.0154233333333,0.64119710004,-0.00297683366835,SHMT1
LY96,-0.118023333333,0.943410451275,-0.00298590970799,LY96
NTC_245,-0.04392,0.85309103273,-0.00303068304691,NTC
NTC_2229,-0.116486666667,0.94095438414,-0.00307890916622,NTC
NTC_1141,-0.0180833333333,0.674681135065,-0.00309046758182,NTC
TMLHE,-0.0159056666667,0.636785301096,-0.00311762152864,TMLHE
MTHFD2_P2,-0.00999,0.487425647305,-0.00311779531271,MTHFD2
PYCR2,-0.00738333333333,0.375748232751,-0.00313867754386,PYCR2
NTC_2323,-0.0355153333333,0.814553206834,-0.00316372514963,NTC
CFD,-0.224053333333,0.967996326084,-0.00316504258662,CFD
NTC_1663,-0.02526,0.74823187893,-0.00318184539428,NTC
TTBK2,-0.10705,0.933589862391,-0.0031947865862,TTBK2
NTC_378,-0.0850766666667,0.916428943308,-0.00322450801986,NTC
NTC_1818,-0.0326566666667,0.795445187509,-0.00324573765256,NTC
DUSP10,-0.0203203333333,0.69053589347,-0.0032677888469,DUSP10
NTC_1523,-0.0442133333333,0.843419839884,-0.0032698495581,NTC
NTC_2030,-0.150053333333,0.950781578876,-0.00328905520544,NTC
NTC_2425,-0.167646666667,0.95569807872,-0.00329916687978,NTC
CEACAM5,-0.00640133333333,0.304078938533,-0.00330957677184,CEACAM5
NTC_1713,-0.06425,0.887105102149,-0.0033426012976,NTC
PTPRZ1,-0.0662033333333,0.889543526887,-0.0033653005569,PTPRZ1
JAK2,-0.0587866666667,0.87493007771,-0.00341119352843,JAK2
CD55,-0.288006666667,0.972917905024,-0.00343413505177,CD55
PTPN21,-0.01386,0.563850847231,-0.00344886367057,PTPN21
NTC_402,-0.0619523333333,0.877362718239,-0.00352018262921,NTC
NTC_1419,-0.06844,0.887105102149,-0.00356058572463,NTC
NTC_1133,-0.0183933333333,0.63898929314,-0.00357762139625,NTC
ATP2C1,-0.00635333333333,0.273243638746,-0.00357978528459,ATP2C1
PFN2,-0.0866266666667,0.90908580795,-0.00358592144396,PFN2
NTC_1174,-0.0336133333333,0.781193586604,-0.00360473859976,NTC
KCNMB4,-0.0475333333333,0.836181974437,-0.00369330191463,KCNMB4
NTC_1211,-0.0746366666667,0.891982793666,-0.00370522708403,NTC
NTC_707,-0.171986666667,0.950781578876,-0.00376981722899,NTC
NTC_1971,-0.0553633333333,0.85309103273,-0.00382032595068,NTC
NTC_2173,-0.591316666667,0.985225941268,-0.0038223664842,NTC
NTC_153,-0.0745533333333,0.887105102149,-0.00387863142008,NTC
NTC_2346,-0.0788366666667,0.891982793666,-0.00391372988095,NTC
RAB8B,-0.0118,0.464507801865,-0.00392948244904,RAB8B
NTC_1821,-0.00719333333333,0.282813491684,-0.00394554244324,NTC
TRAF3IP3_P2,-0.0711833333333,0.879796743037,-0.00395904972573,TRAF3IP3
NTC_81,-0.202303333333,0.95569807872,-0.00398118537203,NTC
NTC_559,-0.0197133333333,0.625811942673,-0.00401277030123,NTC
RLBP1,-0.0232933333333,0.672428035278,-0.00401470355215,RLBP1
NTC_712,-0.027367,0.711120309393,-0.00405187367098,NTC
ETFDH,-0.147903333333,0.93849898757,-0.00407713161734,ETFDH
NTC_1770,-0.0227433333333,0.661205250921,-0.00408615155718,NTC
KCNK2,-0.10065,0.90908580795,-0.00416641903957,KCNK2
PPFIA2_ENST00000548586.1,-0.06153,0.855512477341,-0.00417011281053,PPFIA2
NTC_1813,-0.0282666666667,0.711120309393,-0.00418507554474,NTC
NTC_2534,-0.117656666667,0.92132842666,-0.00418687471336,NTC
NTC_1816,-0.0643466666667,0.857935018332,-0.00428198787688,NTC
NTC_629,-0.0401533333333,0.781193586604,-0.00430609690328,NTC
NTC_993,-0.00948333333333,0.351309509524,-0.00430837406021,NTC
SBK2,-0.80371,0.987688080806,-0.00432411022754,SBK2
SLC5A6,-0.0202733333333,0.610588642536,-0.00434358758016,SLC5A6
NTC_135,-0.0241833333333,0.661205250921,-0.00434486729406,NTC
CHKA,-0.09458,0.899307035753,-0.00435938219786,CHKA
NTC_1667,-0.0885413333333,0.891982793666,-0.00439550372457,NTC
NTC_259,-0.0233533333333,0.647838282389,-0.00440288314825,NTC
NTC_1466,-0.25334,0.960616264722,-0.00442079930397,NTC
NTC_1216,-0.0530166666667,0.824149523325,-0.00445308127575,NTC
NTC_54,-0.0942633333333,0.896864575381,-0.00445612276722,NTC
NTC_113,-0.207386666667,0.950781578876,-0.00454575836729,NTC
NTC_1576,-0.0177266666667,0.553473622328,-0.00455403512433,NTC
NTC_1608,-0.0379723333333,0.757605598034,-0.00457782394229,NTC
NTC_900,-0.03569,0.743558840305,-0.00459275546554,NTC
NTC_2469,-0.0149966666667,0.49324863333,-0.00460298852725,NTC
GLUL,-0.0449266666667,0.788310721045,-0.00464103999258,GLUL
NTC_1221,-0.00676466666667,0.205739087786,-0.00464518288655,NTC
TLL2,-0.0137933333333,0.453277652383,-0.00473988164661,TLL2
CD3D,-0.038357,0.750572106878,-0.0047795729109,CD3D
