sgRNA	Gene	t0	iPSC_t10_1	iPSC_t10_2
ACAN_+_89347139.23-P1P2_h1_Top5	ACAN	271.0	547.0	472.0
ACAN_+_89347148.23-P1P2_h1_Top5	ACAN	269.0	479.0	346.0
ACAN_+_89347151.23-P1P2_h1_Top5	ACAN	338.0	473.0	414.0
ACAN_-_89346701.23-P1P2_h1_Top5	ACAN	302.0	1150.0	1152.0
ACAN_-_89347101.23-P1P2_h1_Top5	ACAN	1606.0	3725.0	3673.0
ACAT1_+_107992288.23-P1P2_h1_Top5	ACAT1	164.0	392.0	496.0
ACAT1_+_107992310.23-P1P2_h1_Top5	ACAT1	1404.0	3942.0	3690.0
ACAT1_+_107992321.23-P1P2_h1_Top5	ACAT1	1594.0	4232.0	4496.0
ACAT1_-_107992364.23-P1P2_h1_Top5	ACAT1	2367.0	4438.0	5162.0
ACAT1_-_107992733.23-P1P2_h1_Top5	ACAT1	1944.0	4094.0	4109.0
ACAT2_+_160183436.23-P1P2_h1_Top5	ACAT2	265.0	383.0	334.0
ACAT2_+_160183505.23-P1P2_h1_Top5	ACAT2	601.0	1267.0	1532.0
ACAT2_-_160183054.23-P1P2_h1_Top5	ACAT2	607.0	1206.0	861.0
ACAT2_-_160183095.23-P1P2_h1_Top5	ACAT2	779.0	1107.0	1193.0
ACAT2_-_160183174.23-P1P2_h1_Top5	ACAT2	1410.0	2871.0	3133.0
ACCS_+_44087946.23-P1P2_h1_Top5	ACCS	1830.0	3149.0	4028.0
ACCS_+_44088028.23-P1P2_h1_Top5	ACCS	1662.0	3932.0	3782.0
ACCS_+_44088091.23-P1P2_h1_Top5	ACCS	1185.0	3127.0	3210.0
ACCS_+_44088215.23-P1P2_h1_Top5	ACCS	1391.0	1748.0	2237.0
ACCS_-_44088090.23-P1P2_h1_Top5	ACCS	1607.0	3457.0	3220.0
ACE2_+_15619016.23-P1P2_h1_Top5	ACE2	59.0	224.0	174.0
ACE2_+_15619087.23-P1P2_h1_Top5	ACE2	2066.0	5110.0	5868.0
ACE2_-_15618594.23-P1P2_h1_Top5	ACE2	2366.0	5676.0	6124.0
ACE2_-_15618975.23-P1P2_h1_Top5	ACE2	3968.0	9945.0	10082.0
ACE2_-_15619013.23-P1P2_h1_Top5	ACE2	2708.0	5700.0	6272.0
ACE_+_61554448.23-P1_h1_Top5	ACE_P1	507.0	1801.0	1406.0
ACE_+_61554829.23-P1_h1_Top5	ACE_P1	1867.0	4254.0	4305.0
ACE_+_61562272.23-P2_h1_Top5	ACE_P2	2974.0	5902.0	6838.0
ACE_+_61562293.23-P2_h1_Top5	ACE_P2	1704.0	4310.0	4753.0
ACE_-_61554428.23-P1_h1_Top5	ACE_P1	1990.0	3987.0	4328.0
ACE_-_61554458.23-P1_h1_Top5	ACE_P1	2175.0	4208.0	4693.0
ACE_-_61554461.23-P1_h1_Top5	ACE_P1	1845.0	4181.0	4167.0
ACE_-_61562238.23-P2_h1_Top5	ACE_P2	151.0	251.0	260.0
ACE_-_61562443.23-P2_h1_Top5	ACE_P2	675.0	1564.0	2241.0
ACE_-_61562661.23-P2_h1_Top5	ACE_P2	3433.0	7459.0	9287.0
ACHE_+_100493456.23-P1_h1_Top5	ACHE_P1	3146.0	7716.0	7610.0
ACHE_+_100493473.23-P1_h1_Top5	ACHE_P1	1750.0	3713.0	3447.0
ACHE_+_100494559.23-P2_h1_Top5	ACHE_P2	146.0	95.0	187.0
ACHE_+_100494570.23-P2_h1_Top5	ACHE_P2	365.0	1223.0	1018.0
ACHE_-_100493122.23-P1_h1_Top5	ACHE_P1	789.0	1667.0	2015.0
ACHE_-_100493427.23-P1_h1_Top5	ACHE_P1	1379.0	3054.0	3069.0
ACHE_-_100493486.23-P1_h1_Top5	ACHE_P1	1973.0	5500.0	5516.0
ACHE_-_100494233.23-P2_h1_Top5	ACHE_P2	897.0	2328.0	2087.0
ACHE_-_100494236.23-P2_h1_Top5	ACHE_P2	2334.0	6309.0	6438.0
ACHE_-_100494578.23-P2_h1_Top5	ACHE_P2	2617.0	6094.0	5461.0
ACOT13_+_24667341.23-P1P2_h1_Top5	ACOT13	1609.0	3329.0	4010.0
ACOT13_-_24667329.23-P1P2_h1_Top5	ACOT13	2211.0	4371.0	4870.0
ACOT13_-_24667371.23-P1P2_h1_Top5	ACOT13	1322.0	3104.0	2609.0
ACOT13_-_24667386.23-P1P2_h1_Top5	ACOT13	955.0	1715.0	1709.0
ACOT13_-_24667473.23-P1P2_h1_Top5	ACOT13	3575.0	8537.0	8099.0
ACOX1_+_73975227.23-P1P2_h1_Top5	ACOX1	959.0	2143.0	2516.0
ACOX1_-_73975169.23-P1P2_h1_Top5	ACOX1	2959.0	6972.0	7584.0
ACOX1_-_73975193.23-P1P2_h1_Top5	ACOX1	1211.0	4183.0	3564.0
ACOX1_-_73975196.23-P1P2_h1_Top5	ACOX1	1532.0	3690.0	3892.0
ACOX1_-_73975245.23-P1P2_h1_Top5	ACOX1	1681.0	4281.0	3837.0
ACP1_+_264980.23-P1P2_h1_Top5	ACP1	355.0	879.0	1213.0
ACP1_+_265303.23-P1P2_h1_Top5	ACP1	664.0	1131.0	1249.0
ACP1_-_264967.23-P1P2_h1_Top5	ACP1	1188.0	3779.0	3001.0
ACP1_-_264970.23-P1P2_h1_Top5	ACP1	103.0	277.0	383.0
ACP1_-_265107.23-P1P2_h1_Top5	ACP1	463.0	796.0	595.0
ACP2_+_47270320.23-P1P2_h1_Top5	ACP2	3163.0	8179.0	8991.0
ACP2_+_47270332.23-P1P2_h1_Top5	ACP2	1193.0	3047.0	3240.0
ACP2_-_47269915.23-P1P2_h1_Top5	ACP2	1271.0	3283.0	3816.0
ACP2_-_47269958.23-P1P2_h1_Top5	ACP2	4094.0	13190.0	11258.0
ACP2_-_47270385.23-P1P2_h1_Top5	ACP2	903.0	1435.0	1949.0
ACP5_+_11688472.23-P1_h1_Top5	ACP5_P1	1609.0	3854.0	4107.0
ACP5_-_11688086.23-P1_h1_Top5	ACP5_P1	2034.0	3680.0	3973.0
ACP5_-_11688414.23-P1_h1_Top5	ACP5_P1	1836.0	5612.0	4772.0
ACP5_-_11688437.23-P1_h1_Top5	ACP5_P1	2817.0	5743.0	5425.0
ACP5_-_11688455.23-P1_h1_Top5	ACP5_P1	2184.0	4760.0	4680.0
ACP5_-_11689356.23-P2_h1_Top5	ACP5_P2	2386.0	5744.0	6061.0
ACP5_-_11689724.23-P2_h1_Top5	ACP5_P2	445.0	1324.0	1218.0
ACP5_-_11689727.23-P2_h1_Top5	ACP5_P2	1284.0	2564.0	2464.0
ACP5_-_11689744.23-P2_h1_Top5	ACP5_P2	1005.0	2140.0	2004.0
ACP5_-_11689771.23-P2_h1_Top5	ACP5_P2	1494.0	3352.0	3300.0
ACP6_+_147141956.23-P1P2_h1_Top5	ACP6	614.0	1178.0	1295.0
ACP6_+_147142159.23-P1P2_h1_Top5	ACP6	1294.0	3359.0	2880.0
ACP6_-_147142348.23-P1P2_h1_Top5	ACP6	939.0	1747.0	1885.0
ACP6_-_147142356.23-P1P2_h1_Top5	ACP6	1628.0	2115.0	2088.0
ACP6_-_147142393.23-P1P2_h1_Top5	ACP6	1729.0	4494.0	5070.0
ACPP_+_132036268.23-P1P2_h1_Top5	ACPP	2037.0	6202.0	5749.0
ACPP_+_132036293.23-P1P2_h1_Top5	ACPP	1585.0	3887.0	3447.0
ACPP_+_132036338.23-P1P2_h1_Top5	ACPP	1945.0	4520.0	4861.0
ACPP_+_132036504.23-P1P2_h1_Top5	ACPP	2054.0	5923.0	6269.0
